score,no,method,model,name,fold
0.9727738978611961,9,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,10,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,11,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,12,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,13,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,14,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,15,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,16,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,17,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,18,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9732103884766479,19,baseline,xgboost,oocytes_trisopterus_states_5b,0
